OBJECTID,CreationDate,Creator,EditDate,Editor,GlobalID,AreaID,UNIT_CODE,UNIT_NAME,DATE_EDIT,STATE,REGION,GNIS_ID,UNIT_TYPE,CREATED_BY,PARKNAME,x,y
1,07/08/2025 13:08:51,NPS_WASO_LANDS,07/08/2025 13:08:51,NPS_WASO_LANDS,b8d0d980-5195-4038-9867-fc2e8c38dffd,161,SHEN,Shenandoah National Park,6/17/2025,VA,NE,1488805,National Park,Lands,Shenandoah,-78.46395182,38.47242981
2,07/08/2025 13:08:51,NPS_WASO_LANDS,07/08/2025 13:08:51,NPS_WASO_LANDS,68defb34-983b-451f-99ac-9f5bd97a90eb,132,APPA,Appalachian National Scenic Trail,7/3/2025,CT,NE,2766084,National Scenic Trail,Lands,Appalachian,-82.48075646,35.98886521
3,07/08/2025 13:08:53,NPS_WASO_LANDS,07/08/2025 13:08:53,NPS_WASO_LANDS,91be5a55-1900-49ba-b8fd-03211878e434,1,BOST,Boston National Historical Park,2/9/2015,MA,NE,600140,National Historical Park,Lands,Boston,-71.05537776,42.37327435
4,07/08/2025 13:08:53,NPS_WASO_LANDS,07/08/2025 13:08:53,NPS_WASO_LANDS,535052de-a005-4703-9983-7c3f9a1539af,2,MAVA,Martin Van Buren National Historic Site,7/18/2012,NY,NE,1888943,National Historic Site,Lands,Martin Van Buren,-73.71416086,42.36830216
5,07/08/2025 13:08:53,NPS_WASO_LANDS,07/08/2025 13:08:53,NPS_WASO_LANDS,e724b145-bb4b-4dc7-87f9-7df69f326598,3,SPAR,Springfield Armory National Historic Site,10/18/2011,MA,NE,1888963,National Historic Site,Lands,Springfield Armory,-72.58106018,42.1083672
6,07/08/2025 13:08:53,NPS_WASO_LANDS,07/08/2025 13:08:53,NPS_WASO_LANDS,62bdfc57-2efe-444d-99f3-998b7991bbd2,4,ACAD,Acadia National Park,12/18/2013,ME,NE,578853,National Park,Park,Acadia,-68.24546469,44.33793628
7,07/08/2025 13:08:53,NPS_WASO_LANDS,07/08/2025 13:08:53,NPS_WASO_LANDS,9e8d07f1-4b5c-4cd6-a120-079891b2f487,5,SACR,Saint Croix Island International Historic Site,6/20/2016,ME,NE,581971,International Historic Site,Lands,Saint Croix Island,-67.13360164,45.12870768
8,07/08/2025 13:08:53,NPS_WASO_LANDS,07/08/2025 13:08:53,NPS_WASO_LANDS,788d45f7-a485-4b46-9285-46c78df45914,6,ADAM,Adams National Historical Park,6/5/2009,MA,NE,1888899,National Historical Park,Lands,Adams,-71.01181848,42.25653698
9,07/08/2025 13:08:53,NPS_WASO_LANDS,07/08/2025 13:08:53,NPS_WASO_LANDS,bb57bf5f-3e90-4668-ad01-ed0d505d7696,7,JOFI,John Fitzgerald Kennedy National Historic Site,10/28/2010,MA,NE,607138,National Historic Site,Lands,John F Kennedy,-71.12323086,42.34694321
10,07/08/2025 13:08:53,NPS_WASO_LANDS,07/08/2025 13:08:53,NPS_WASO_LANDS,0f1bd98d-1f9a-4376-b723-a1fcc7b7fd79,8,MIMA,Minute Man National Historical Park,2/22/2018,MA,NE,600051,National Historical Park,Lands,Minute Man,-71.29992714,42.45491017
